ss_action_light_bullet_2,Spark Bolt II,Искровая молния II,Fagulha II,Rayo de chispa II,Funkenblitz II,Trait d'étincelle II,Dardo scintillante II,Iskrowy pocisk II,火花弹 II,スパークボルト II,불꽃 볼트 II,,,,,,,,,,,,,
ss_actiondesc_light_bullet_2,"A faster, more vibrant sparkling projectile","Быстрее, ярче и чуть сильнее сверкающий снаряд","Um projétil reluzente mais rápido e poderoso.","Un proyectil brillante más veloz y vibrante","Ein schnelleres, lebhafter funkelndes Projektil","Un projectile scintillant plus rapide et éclatant","Un proiettile scintillante più rapido e potente.","Błyszczący pocisk szybszy i bardziej lśniący.","更快、更闪亮的投射物","より速く、より輝く放射物","더 빠르고 더 빛나는 발사체입니다.",,,,,,,,,,,,,
ss_action_light_bullet_3,Spark Bolt III,Искровая молния III,Fagulha III,Rayo de chispa III,Funkenblitz III,Trait d'étincelle III,Dardo scintillante III,Iskrowy pocisk III,火花弹 III,スパークボルト III,불꽃 볼트 III,,,,,,,,,,,,,
ss_actiondesc_light_bullet_3,"A refined, intensely radiant projectile","Идеально сверкающий и мощный снаряд","Um projétil refinado e intensamente radiante.","Un proyectil refinado y radiante","Ein raffiniert, intensiv funkelndes Projektil","Un projectile intensément lumineux et raffiné","Un proiettile intensamente brillante e perfezionato.","Rafinowany intensywnie lśniący pocisk.","精炼且闪亮的投射物","洗練され、非常に明るい放射物","더 세련되고 강렬하게 빛나는 발사체입니다.",,,,,,,,,,,,,
ss_action_digger_2,Digging Bolt II,Роющая молния II,Broca II,Rayo excavador II,Grabungsblitz II,Trait minier II,Dardo scavatore II,Pocisk kopiący II,挖掘魔弹 II,発掘ボルト II,땅 파는 볼트 II,,,,,,,,,,,,,
ss_actiondesc_digger_2,"A more efficient bolt for mining operations","Более эффективный инструмент для шахтных работ","Um projétil mais eficiente para mineração.","Un proyectil más eficiente para minería","Ein effizienterer Blitz für Minenarbeiten","Un trait minier plus efficace","L'ideale per scavi più rapidi.","Pocisk bardziej wydajny do kopania.","更高效的采矿魔弹","より効率的な採掘用ボルト","더 효율적인 채굴용 볼트입니다.",,,,,,,,,,,,,
ss_action_digger_3,Digging Bolt III,Роющая молния III,Broca III,Rayo excavador III,Grabungsblitz III,Trait minier III,Dardo scavatore III,Pocisk kopiący III,挖掘魔弹 III,発掘ボルト III,땅 파는 볼트 III,,,,,,,,,,,,,
ss_actiondesc_digger_3,"A powerful mining tool with increased digging capability","Мощный инструмент для глубоких шахтных работ","Um projétil poderoso para escavações avançadas.","Un proyectil avanzado para excavaciones profundas","Ein leistungsstarker Blitz für schwere Grabungsarbeiten","Un trait puissant pour miner efficacement","Un proiettile potente per gli scavi complessi.","Potężny pocisk do trudnych wykopów.","强大的采矿魔弹，挖掘力更强","より強力な掘削が可能なボルト","더 강력한 채굴 작업을 위한 볼트입니다.",,,,,,,,,,,,,
ss_action_friendly_projectile,Friendly Projectile,Безопасный снаряд,Projétil Amigável,Proyectil Amistoso,Freundliches Projektil,Projectile Amical,Proiettile Amico,Przyjazny pocisk,友好弹,フレンドリープロジェクタイル,아군 피해 무효화 투사체,,,,,,,,,,,,,
ss_actiondesc_friendly_projectile,Removes friendly fire from projectiles.,Убирает дружественный урон от снарядов.,Remove o dano de fogo amigo dos projéteis.,Elimina el fuego amigo de los proyectiles.,Entfernt freundliches Feuer von Projektilen.,Supprime les dégâts alliés des projectiles.,Rimuove il fuoco amico dai proiettili.,Usuwa obrażenia od przyjaznych pocisków.,消除友方伤害的弹道物。,投射物の味方攻撃を無効化します。,투사체의 아군 피해를 제거합니다.,,,,,,,,,,,,,
